,ACKR,AFGH,AIRT,AKIT,AMAL,AMST,ANAT,AUCD,AUSS,AUST,BASS,BEAG,BEDT,BELS,BERD,BICH,BMAL,BMD,BORD,BORT,BORZ,BOST,BOUV,BOX,BPIC,BRIA,BRIT,BRTR,BRUS,BSJI,BULD,BULM,BULT,CAIR,CANE,CARD,CCRT,CHIH,CHIN,CHOW,CKCS,COLL,COTO,CRES,DACH,DALM,DANE,DDBX,DEER,DOBP,ECKR,ESET,ESSP,EURA,FBUL,FCR,FIEL,FINS,GLEN,GOLD,GORD,GPYR,GREY,GSD,GSHP,GSMD,GSNZ,GWHP,HUSK,ICES,IRIT,ISET,ITGY,IWOF,IWSP,KEES,KELP,KOMO,KUVZ,LAB,LEON,LHSA,MAST,MBLT,MPIN,MPOO,MSNZ,NELK,NEWF,NORF,NOWT,NSDT,OES,OTTR,PAPI,PARS,PBGV,PEMB,PHAR,POM,PTWD,PUG,PULI,PUMI,RHOD,ROTT,SALU,SAMO,SCOT,SCWT,SHAR,SHIB,SHIH,SILK,SKIP,SLOU,SPIN,SPOO,SSHP,SSNZ,STAF,STBD,SVAL,TIBM,TIBS,TIBT,TPOO,TURV,VIZS,WEIM,WFOX,WHIP,WHWT,YORK
ACKR,1,0.000441864,0.007615715,0.001561268,0.001719221,0.012866208,0.000863079,0.004689876,0.01617967,0.004814653,0.008677454,0.012020847,0.007884867,0.002907363,0.00522568,0.014959752,0.00601982,0.004600671,0.005812111,0.007120072,0.005195539,0.01227824,0.006137062,0.007163973,0.005302607,0.005986686,0.015414477,0.011557406,0.009436533,0.000370539,0.008616866,0.007651143,0.004339254,0.004887512,0.007097982,0.006416928,0.011672555,0.011655824,0.005634607,0.000466327,0.025511603,0.002489683,0.010590189,0.00889069,0.013964548,0.019264793,0.004510652,0.003704067,0.003902851,0.003998097,0.153236125,0.020254353,0.050309593,0.002121862,0.004665103,0.008981241,0.058985512,0.001137405,0.008015345,0.007683887,0.021489722,0.00830875,0.005821762,0.003465164,0.014276958,0.00741496,0.009911756,0.013282488,0.001803871,0.005450354,0.004594898,0.013236011,0.008355944,0.006453327,0.025391399,0.00508705,0.005736588,0.002962649,0.007741515,0.012887675,0.006016194,0.005190168,0.002212599,0.005013228,0.018046366,0.007776354,0.00511348,0.006105164,0.007727227,0.006147754,0.003330871,0.047614595,0.015296661,0.004210973,0.012702445,0.014361713,0.007832781,0.004971763,0.011617099,0.008474693,0.01211499,0.003437344,0.014348798,0.009356765,0.008368192,0.004238775,0.000972627,0.002538757,0.004355523,0.007321878,0.004299656,0.002203442,0.003595096,0.01601222,0.010037135,0.002609653,0.006940429,0.012489792,0.003290739,0.00858614,0.012046084,0.003744554,0.006410749,0.001005032,0.003961695,0.008757519,0.012055605,0.003734843,0.01091802,0.005246903,0.004365393,0.00513028,0.004743259,0.017153242
AFGH,0.000441864,1,0.000730359,0.000366603,0.000414485,0.000658041,0.01569936,0.000534802,0.0005441,0.00047424,0.0011615,0.000498482,0.000329608,0.000436563,0.000402937,0.000589225,0.000627109,0.000378712,0.000551401,0.002941562,0.005686479,0.00056147,0.000500461,0.000394961,0.000284865,0.000472069,0.000551591,0.00044078,0.000444263,0.00062444,0.00050056,0.000464369,0.000433136,0.000561557,0.000831815,0.000531562,0.00049077,0.000685894,0.000332382,0.000397252,0.000370566,0.000369981,0.000431527,0.000523362,0.001312957,0.002840968,0.000537938,0.000389555,0.00035264,0.000372859,0.000515292,0.00050588,0.000491338,0.001001553,0.000544399,0.000413979,0.000321394,0.000978986,0.000484639,0.000466143,0.000597013,0.000395942,0.00054439,0.00043438,0.000609581,0.000312605,0.000526438,0.000628878,0.000392263,0.000432921,0.000306416,0.000442571,0.000463851,0.000372406,0.000465833,0.000459219,0.000511741,0.005846694,0.002548637,0.000574634,0.000418461,0.001998655,0.000468037,0.00046289,0.00126488,0.000585708,0.000355665,0.000586068,0.000503699,0.000364293,0.000395244,0.000488748,0.000483573,0.000394275,0.000585794,0.000668413,0.000492876,0.000461268,0.000668805,0.000588474,0.000477561,0.000337591,0.00057389,0.001942294,0.002838698,0.000390894,0.068444424,0.001077901,0.000405488,0.000425598,0.000519248,0.000407133,0.000424336,0.00065861,0.000533603,0.011142286,0.000493635,0.000509928,0.000397445,0.00048362,0.001537791,0.000428717,0.00036274,0.005125631,0.002611104,0.001648904,0.000628348,0.00051791,0.000531604,0.000394079,0.000387791,0.000442263,0.000414451,0.000581289
AIRT,0.007615715,0.000730359,1,0.000762467,0.00032645,0.016287635,0.000458265,0.01103339,0.016550603,0.011294727,0.004908306,0.01123086,0.008794359,0.002379438,0.005201323,0.003897295,0.003305704,0.002133178,0.010029021,0.012304988,0.001969344,0.015398817,0.008841322,0.005682348,0.006572523,0.003727526,0.00882952,0.052323414,0.006266157,0.000268653,0.013465605,0.007402051,0.008315664,0.012960833,0.006894934,0.007779108,0.007327558,0.006352505,0.005575007,0.000315665,0.011286742,0.00314173,0.007284583,0.008393839,0.00577238,0.01456034,0.005497199,0.005035455,0.003621795,0.008012828,0.007989746,0.008484934,0.010976039,0.003285932,0.011303921,0.008907223,0.003257428,0.004483068,0.017625509,0.015868328,0.011964132,0.002000243,0.007667092,0.001415813,0.008711096,0.008172961,0.038636108,0.007858765,0.000312507,0.005136126,0.021031549,0.005445553,0.006203574,0.003309375,0.006006588,0.006847835,0.016810565,0.004074385,0.005268995,0.011963221,0.00636678,0.001801309,0.007182222,0.00666758,0.007435383,0.008690723,0.005299411,0.004044559,0.007274919,0.008419242,0.009697574,0.019531086,0.008878458,0.014628085,0.009255556,0.015425635,0.004430405,0.005964938,0.004043975,0.003581417,0.00301099,0.004844944,0.006735959,0.005904321,0.018594491,0.002284555,0.000487414,0.001395756,0.011129139,0.009410434,0.001777773,0.000321873,0.003789017,0.01653527,0.009534769,0.00097088,0.003735409,0.004127369,0.013938409,0.010477161,0.007793108,0.003984716,0.00329721,0.000495419,0.002562125,0.006065056,0.007287202,0.005143521,0.004655696,0.005154824,0.006426193,0.006926853,0.016618437,0.034307383
AKIT,0.001561268,0.000366603,0.000762467,1,0.00230383,0.001846325,0.000616047,0.000509792,0.001442263,0.001368168,0.000411099,0.000476684,0.002668062,0.000419753,0.002715085,0.000559009,0.002790921,0.001153695,0.000912237,0.002686248,0.000433788,0.000533967,0.000478494,0.000381152,0.003981686,0.000452475,0.00364358,0.003290341,0.003245832,0.000316118,0.001734832,0.003639654,0.000416584,0.000534047,0.000622486,0.000506847,0.003322123,0.000645292,0.017974921,0.005906359,0.001251469,0.000357836,0.000415096,0.000499386,0.000585381,0.001809248,0.000874571,0.000376115,0.00034159,0.000360528,0.003673186,0.001215428,0.001351685,0.002819961,0.000518505,0.002023419,0.002104815,0.000355861,0.001397331,0.002351205,0.003994343,0.000382065,0.000518497,0.007346487,0.00204597,0.00030389,0.0014118,0.004200334,0.002165449,0.001697184,0.000298038,0.000425304,0.001689654,0.0008428,0.000952555,0.000440656,0.000488795,0.000521268,0.000543215,0.002753178,0.002492805,0.00227126,0.001754834,0.000444035,0.001551727,0.000555843,0.000344427,0.000556167,0.00199705,0.000896561,0.000381415,0.002835011,0.001291823,0.001791233,0.001669978,0.002982383,0.001912283,0.001635049,0.000367028,0.00163959,0.001508251,0.001781516,0.001377266,0.00194004,0.002308724,0.001345409,0.000669902,0.000365362,0.000390946,0.001531058,0.005815426,0.020608477,0.001368131,0.001240322,0.001610972,0.000678272,0.003299749,0.000487141,0.000383465,0.002101494,0.001559365,0.000412494,0.000351059,0.002763187,0.001651183,0.003747695,0.000594103,0.00049442,0.002102329,0.00038033,0.00037447,0.000953225,0.000399271,0.0018795
AMAL,0.001719221,0.000414485,0.00032645,0.00230383,1,0.003132599,0.000764444,0.003477666,0.004451825,0.00193853,0.00047228,0.001500832,0.001133612,0.002037357,0.001381913,0.001861511,0.004518116,0.002136898,0.003038042,0.002228785,0.001667097,0.003559308,0.002061656,0.001520376,0.004796904,0.003580065,0.003060917,0.00048892,0.000493209,0.000351091,0.003136681,0.003766873,0.000479533,0.00186279,0.002983731,0.004249069,0.00773861,0.004239099,0.001662464,0.004183679,0.000404009,0.003340016,0.003158262,0.004137861,0.002081686,0.002396928,0.002355797,0.00172811,0.003118778,0.002455134,0.003366341,0.003460963,0.004224447,0.004436519,0.002672738,0.004165232,0.001096483,0.001979271,0.00163322,0.00660715,0.002594242,0.001079501,0.004776011,0.013358033,0.002886096,0.00184871,0.000596595,0.002203325,0.170734979,0.006762851,0.003397573,0.002441329,0.003123533,0.00150064,0.004494855,0.001981011,0.006637286,0.00455725,0.001870389,0.010459299,0.003372735,0.001725677,0.006261116,0.000516273,0.003464672,0.001502302,0.001491771,0.002224128,0.017600104,0.00124215,0.000433519,0.003102326,0.009178451,0.000432355,0.002514482,0.003880805,0.000553855,0.002625587,0.001473268,0.001961122,0.003655247,0.001024462,0.001962694,0.003719448,0.00243399,0.000428291,0.000849155,0.010417606,0.000445875,0.001650701,0.001405045,0.002297303,0.001699762,0.003597916,0.000605815,0.000862648,0.003896689,0.002692567,0.002188574,0.000542194,0.001853317,0.004065585,0.003441874,0.000873751,0.002390894,0.001630798,0.001581999,0.002197878,0.001908491,0.001947479,0.002370283,0.002533802,0.001656125,0.002287864
AMST,0.012866208,0.000658041,0.016287635,0.001846325,0.003132599,1,0.002408673,0.026540534,0.019494418,0.015665788,0.005133652,0.023277307,0.007811985,0.005211739,0.011295086,0.021044758,0.028433207,0.009305628,0.016629122,0.018836336,0.003220647,0.131452227,0.019689196,0.041754293,0.005412135,0.006525225,0.016619157,0.009404465,0.012332642,0.001493223,0.085701001,0.043572725,0.097154476,0.024697904,0.056620488,0.021652945,0.020338948,0.03055413,0.002282336,0.001442906,0.005867791,0.011817369,0.015101802,0.012079026,0.011659514,0.014425744,0.021509067,0.030747064,0.005166275,0.007734755,0.018328085,0.011201944,0.010727002,0.00326215,0.089089915,0.008000688,0.006998672,0.003827557,0.049239754,0.016206538,0.016668814,0.003001217,0.024031724,0.00637374,0.013325772,0.010034455,0.015644836,0.012917809,0.001658452,0.009785739,0.01174143,0.007730567,0.012002894,0.004696541,0.012627373,0.008920831,0.008438874,0.005717483,0.016715676,0.020832684,0.009786309,0.00772393,0.026739284,0.096821522,0.01756222,0.018086404,0.005643328,0.011321944,0.020261792,0.006285561,0.016239393,0.016620729,0.017860418,0.008621989,0.018244984,0.058691083,0.007717644,0.018922373,0.004488665,0.012636264,0.010597429,0.008771885,0.008609058,0.014860826,0.018232964,0.009077572,0.003512869,0.003710029,0.016996108,0.03644098,0.00794243,0.003444612,0.003577886,0.037530045,0.017060224,0.003437231,0.012100784,0.007868086,0.015869775,0.011230105,0.135569266,0.006564166,0.007151074,0.003975858,0.004312514,0.020307227,0.016893814,0.012052384,0.007766656,0.00481732,0.020917868,0.020475404,0.011764412,0.030893303
ANAT,0.000863079,0.01569936,0.000458265,0.000616047,0.000764444,0.002408673,1,0.00406656,0.004093702,0.002724307,0.002204805,0.001109146,0.000518292,0.001709942,0.000726069,0.001687338,0.002040307,0.001560782,0.001410306,0.000730394,0.01046548,0.004327811,0.003554551,0.000700575,0.000604181,0.000986349,0.004405362,0.003342515,0.005650255,0.002102792,0.001119485,0.004007453,0.000830394,0.001478707,0.010332023,0.001659051,0.002734704,0.007564796,0.000525185,0.000707814,0.000627321,0.000625647,0.001501308,0.003246398,0.006915903,0.001152834,0.004716982,0.000683744,0.000577615,0.000642729,0.001195955,0.001146452,0.001599248,0.000806418,0.00136539,0.000762725,0.000498269,0.000764503,0.001042867,0.000960829,0.005971587,0.002264607,0.001365331,0.002346137,0.005800467,0.000477457,0.00125776,0.008365643,0.00124308,0.000829604,0.001882854,0.004033859,0.004611394,0.006821732,0.002617489,0.002553297,0.001176999,0.008494685,0.005747039,0.00673154,0.002061945,0.001466164,0.001518067,0.000947109,0.001036085,0.001658816,0.000585775,0.001661706,0.001135308,0.002011151,0.0023144,0.001062079,0.001037943,0.003044673,0.00537772,0.004135107,0.001281522,0.000940345,0.003386481,0.004781813,0.003346138,0.002337316,0.007130996,0.004673827,0.00323599,0.003494323,0.114999658,0.003039343,0.002423047,0.000803124,0.001217486,0.00068751,0.000798641,0.002416318,0.001311134,0.015257397,0.002567926,0.00296439,0.000708429,0.001038158,0.001306744,0.000814301,0.000605218,0.010544554,0.000877574,0.003679905,0.008685821,0.001176148,0.004593474,0.000697805,0.000678329,0.0008646,0.002497646,0.001623854
AUCD,0.004689876,0.000534802,0.01103339,0.000509792,0.003477666,0.026540534,0.00406656,1,0.030563102,0.011183927,0.00703387,0.008001694,0.007494071,0.004117272,0.037839184,0.011835821,0.01250545,0.006020445,0.068043039,0.007718463,0.002894176,0.009636313,0.011731715,0.006253443,0.005654792,0.007099245,0.014186065,0.005431482,0.006908065,0.000433749,0.009388839,0.009441384,0.006442664,0.013159,0.012341764,0.021982653,0.010417049,0.011777579,0.00223479,0.000571059,0.005663035,0.029573345,0.003963805,0.006808536,0.007921417,0.005316156,0.008840865,0.005383554,0.005106058,0.006790812,0.010890732,0.004692803,0.009024179,0.003321589,0.011141607,0.014260328,0.003173343,0.002004874,0.010074996,0.007859583,0.009119051,0.007568385,0.0154961,0.014587669,0.008458232,0.004066316,0.007665454,0.005606938,0.000560808,0.007843479,0.004415752,0.005073697,0.009964901,0.00445228,0.007512736,0.010143437,0.075320901,0.005894659,0.007018982,0.02093307,0.005299811,0.003907852,0.00771824,0.011712945,0.008524007,0.010576295,0.003382843,0.006327124,0.014316343,0.005824655,0.011396783,0.01938048,0.021008242,0.007373011,0.010636502,0.015305084,0.00570154,0.018607704,0.002703875,0.007481384,0.005667091,0.004811991,0.009932792,0.01062284,0.013166341,0.004478692,0.001575156,0.004464813,0.010341218,0.006677857,0.004174762,0.002541692,0.002645189,0.015292343,0.012037691,0.009325824,0.006423463,0.009252279,0.025889331,0.006987617,0.011033011,0.005201504,0.005868094,0.001661936,0.002298568,0.008129521,0.011950477,0.007179479,0.007135935,0.003212204,0.005584762,0.010731579,0.007977704,0.013761695
AUSS,0.01617967,0.0005441,0.016550603,0.001442263,0.004451825,0.019494418,0.004093702,0.030563102,1,0.01064653,0.008540685,0.010900112,0.005191452,0.007992251,0.04528887,0.007759765,0.023886291,0.004934594,0.078666617,0.009244561,0.002731778,0.009272175,0.008271535,0.005042058,0.011583555,0.008194584,0.011449086,0.008865385,0.006341722,0.000439845,0.007107358,0.01022075,0.003498033,0.01772462,0.015150186,0.054407263,0.010778291,0.009975137,0.001784885,0.006303486,0.005832976,0.129679691,0.004518411,0.012609521,0.015451656,0.010508681,0.008266662,0.009905745,0.005471824,0.006168981,0.013072015,0.011636406,0.010372408,0.006785248,0.013822999,0.011926898,0.007263942,0.003675049,0.020211587,0.011229265,0.016670451,0.002655853,0.011262238,0.039365335,0.00956582,0.00134261,0.008385401,0.010106757,0.005648729,0.009066854,0.006093321,0.007556292,0.008210524,0.005448712,0.013327162,0.007861815,0.053371249,0.002957471,0.007940477,0.017221806,0.009795407,0.005797112,0.009884564,0.005563338,0.006962465,0.010702644,0.004148369,0.00764168,0.012707353,0.011233788,0.00903556,0.031195629,0.036947818,0.009748174,0.014656013,0.045399936,0.003694745,0.038155711,0.002622342,0.015281016,0.011871509,0.004907156,0.006645915,0.009621101,0.010084811,0.002885314,0.001658642,0.005590611,0.008640821,0.007122237,0.000886728,0.003556942,0.004237035,0.012010493,0.010541906,0.001710913,0.007879804,0.007165081,0.078117547,0.012203414,0.008385494,0.006183605,0.003686377,0.001755146,0.004700899,0.00855147,0.010170602,0.010302516,0.007502293,0.003087657,0.00792623,0.011362739,0.01271824,0.014109071
AUST,0.004814653,0.00047424,0.011294727,0.001368168,0.00193853,0.015665788,0.002724307,0.011183927,0.01064653,1,0.00799208,0.011119256,0.01144079,0.005879355,0.005485354,0.011252438,0.009201608,0.003786746,0.012302355,0.010645118,0.001925563,0.014987465,0.006691887,0.009821477,0.005476544,0.004114889,0.009803267,0.004523327,0.021858408,0.000393041,0.011069744,0.005931052,0.005538031,0.019348067,0.010490704,0.007798652,0.005231182,0.010946213,0.003260238,0.000502534,0.01059648,0.003153856,0.005682855,0.009737307,0.00650796,0.012085175,0.005814278,0.005829726,0.006061593,0.005405546,0.007001696,0.009134339,0.007942581,0.002818885,0.020304357,0.006446841,0.008571816,0.001980483,0.014679347,0.008145792,0.009641999,0.004344636,0.005085531,0.002798031,0.007785081,0.003575461,0.005792992,0.01009019,0.000494578,0.004776757,0.019988951,0.005818046,0.008358022,0.003321885,0.007674802,0.005084871,0.013168387,0.00320748,0.005735218,0.008925574,0.005749119,0.005050742,0.005964134,0.00862907,0.010254126,0.00895449,0.005330869,0.006690702,0.007055939,0.014840493,0.024154857,0.006065893,0.009046744,0.00547598,0.018197615,0.024529595,0.006264727,0.006086358,0.001919814,0.010143506,0.006049508,0.008892294,0.008386708,0.0052925,0.008137638,0.004387098,0.001144634,0.003999035,0.017299799,0.015227462,0.002997882,0.00376771,0.008136994,0.272716845,0.007811287,0.001169286,0.008408482,0.005455338,0.005813956,0.010288691,0.017483534,0.003487346,0.003403615,0.001189779,0.004431576,0.007452625,0.013036695,0.00801111,0.004772702,0.004815464,0.010259001,0.007846489,0.012596789,0.098958881
BASS,0.008677454,0.0011615,0.004908306,0.000411099,0.00047228,0.005133652,0.002204805,0.00703387,0.008540685,0.00799208,1,0.044162449,0.007106619,0.003840365,0.004600921,0.008341455,0.006091959,0.003801566,0.005519216,0.004057957,0.003611702,0.007299374,0.005473006,0.004572148,0.002388251,0.00696703,0.011943581,0.0055761,0.006835822,0.000360179,0.003602358,0.004143327,0.005455888,0.009004319,0.00441413,0.006518113,0.010834576,0.008561325,0.002087624,0.000450035,0.003977746,0.002700226,0.004249091,0.006007613,0.013930635,0.009851831,0.007244644,0.004261866,0.00322563,0.004694989,0.008587955,0.008308845,0.006207206,0.004875608,0.005329479,0.00393964,0.004205787,0.003684534,0.00651484,0.004339129,0.011183237,0.004668504,0.005535633,0.00474463,0.01244115,0.002948091,0.005500885,0.016894356,0.001281582,0.002163123,0.005663547,0.006546987,0.004168689,0.005163515,0.009957262,0.005851885,0.006615376,0.009048223,0.004879449,0.004693008,0.0033841,0.002703749,0.004263443,0.006689212,0.006603454,0.006036866,0.004874197,0.003403763,0.008373953,0.004054042,0.004929585,0.004492243,0.008447131,0.033051352,0.007002516,0.008805594,0.034219779,0.004988848,0.005699196,0.004683938,0.004729055,0.010652517,0.008858789,0.00417034,0.00509494,0.004944294,0.001956788,0.001177002,0.003975574,0.003482505,0.001456695,0.001785662,0.002258937,0.009741116,0.005150506,0.000919662,0.008740703,0.008028903,0.003063618,0.008472564,0.006747723,0.004749584,0.003806665,0.000932292,0.003564675,0.002571954,0.007178863,0.005017544,0.008877562,0.004682261,0.009178722,0.004377479,0.006525479,0.008747303
BEAG,0.012020847,0.000498482,0.01123086,0.000476684,0.001500832,0.023277307,0.001109146,0.008001694,0.010900112,0.011119256,0.044162449,1,0.011789341,0.003031428,0.005069491,0.009883129,0.009135521,0.004307588,0.008764649,0.01104392,0.001919121,0.015583905,0.004561624,0.008057697,0.002104373,0.004816524,0.010482258,0.005081221,0.004973074,0.000409547,0.008459526,0.007030894,0.009884249,0.01180505,0.006557232,0.008269842,0.009635271,0.010709393,0.002426845,0.000529838,0.008726481,0.004780852,0.008180173,0.010948835,0.016175837,0.01324398,0.005676939,0.002272759,0.003738962,0.003239273,0.016962178,0.009549888,0.013745043,0.002711333,0.006968016,0.00567548,0.013013677,0.002655941,0.010252399,0.004545615,0.008602169,0.003722725,0.008420325,0.002995714,0.010081313,0.003950695,0.007477417,0.007869135,0.000521001,0.002994235,0.007199387,0.006516779,0.011475536,0.004577996,0.006408471,0.004881313,0.006810772,0.004306669,0.004575193,0.00958563,0.003307656,0.002409053,0.004426996,0.005938366,0.00918877,0.014010566,0.004488733,0.007197941,0.010034823,0.008275426,0.006165685,0.011646661,0.007090171,0.093906266,0.007879888,0.016958973,0.04196918,0.008848413,0.004530301,0.009253117,0.010647742,0.004307116,0.005820127,0.006718079,0.006466053,0.002393474,0.001296855,0.002140323,0.007029155,0.012775545,0.000771644,0.000547564,0.00188707,0.02552273,0.008926719,0.003879754,0.00570119,0.004205677,0.005926848,0.007790508,0.009405627,0.005811603,0.003083513,0.001355112,0.00061955,0.005839882,0.014478119,0.007178669,0.011138531,0.003054441,0.00848334,0.007727142,0.008019869,0.012083897
BEDT,0.007884867,0.000329608,0.008794359,0.002668062,0.001133612,0.007811985,0.000518292,0.007494071,0.005191452,0.01144079,0.007106619,0.011789341,1,0.005065323,0.006852844,0.006881289,0.007060443,0.00172031,0.009356886,0.062220713,0.00389437,0.010472417,0.007782851,0.005517746,0.004508447,0.003226336,0.007250401,0.004264266,0.010569318,0.000288223,0.009295684,0.003879607,0.006010059,0.015233505,0.010386484,0.006504734,0.01168039,0.004299896,0.005593437,0.000343031,0.004255095,0.005011499,0.00705694,0.005121241,0.007675039,0.006671225,0.005488013,0.006642181,0.004136594,0.006231843,0.008370389,0.004155125,0.016815331,0.000961157,0.007128093,0.007146367,0.014319667,0.001388558,0.017214142,0.006559966,0.007221583,0.001460347,0.008463351,0.00474633,0.007130777,0.001151694,0.005607464,0.004987161,0.001824343,0.004836797,0.014561782,0.004078558,0.0086992,0.003809916,0.003716919,0.002430084,0.007898155,0.001431106,0.002194858,0.007210641,0.002715941,0.003691313,0.003305464,0.006478333,0.005337719,0.005869014,0.008595032,0.00215547,0.005686815,0.014577984,0.018369645,0.007073135,0.004425876,0.012425466,0.008078711,0.048403118,0.003660042,0.005879424,0.003120939,0.008255784,0.00379213,0.006180115,0.00232054,0.004576464,0.008049351,0.002926965,0.002093417,0.002379102,0.004378248,0.01738999,0.002734835,0.001220956,0.002505137,0.017787626,0.006246387,0.000561641,0.009436102,0.004974276,0.006404086,0.006750583,0.012133014,0.002938526,0.004620022,0.000566327,0.001880175,0.010755118,0.006556371,0.006999354,0.002716099,0.00206401,0.011736259,0.016725639,0.005132686,0.014772658
BELS,0.002907363,0.000436563,0.002379438,0.000419753,0.002037357,0.005211739,0.001709942,0.004117272,0.007992251,0.005879355,0.003840365,0.003031428,0.005065323,1,0.003892264,0.006197166,0.244424318,0.003639186,0.004848973,0.003725043,0.004276356,0.005734536,0.04280019,0.002165557,0.023242861,0.026654192,0.007851115,0.00608235,0.010659125,0.000366804,0.003400992,0.002532523,0.003965853,0.004267095,0.006877211,0.007064784,0.003638832,0.006446576,0.003771235,0.000460426,0.002913522,0.005688155,0.008925969,0.002558147,0.009148749,0.005610743,0.010050721,0.002849506,0.006271865,0.003568663,0.005428513,0.00482839,0.005222784,0.001844299,0.005731946,0.006169103,0.002476226,0.002343532,0.003582552,0.00446043,0.004179086,0.00306239,0.006539538,0.016328264,0.008677037,0.009056088,0.007503166,0.010018732,0.000453739,0.006734668,0.002821898,0.005034701,0.007932557,0.003415852,0.006879819,0.009760694,0.004589451,0.001549867,0.007398337,0.008271928,0.006406488,0.002727258,0.006317801,0.004362753,0.00709989,0.007364786,0.004442249,0.003610418,0.005897846,0.003007079,0.003802804,0.00893341,0.00847112,0.003257221,0.011745382,0.006470438,0.002768544,0.008019181,0.002338032,0.015598972,0.006300263,0.004435226,0.006625468,0.007559536,0.004131163,0.006116745,0.000947305,0.002035915,0.001954414,0.001813771,0.000632725,0.000473754,0.001808619,0.007933986,0.021792546,0.000964129,0.004518526,0.008761369,0.010016769,0.007267651,0.003890911,0.005958688,0.002528315,0.000978018,0.002672013,0.006133726,0.007310096,0.701940708,0.005933446,0.003559236,0.004079202,0.005800759,0.003680676,0.00951723
BERD,0.00522568,0.000402937,0.005201323,0.002715085,0.001381913,0.011295086,0.000726069,0.037839184,0.04528887,0.005485354,0.004600921,0.005069491,0.006852844,0.003892264,1,0.004038259,0.019114475,0.003367228,0.18763468,0.003795672,0.000810219,0.009726739,0.002037817,0.004984552,0.002781644,0.005502133,0.005131344,0.003309491,0.006278213,0.00034277,0.009218555,0.004098167,0.003341383,0.013380046,0.004721655,0.052273086,0.007897869,0.004565858,0.0020739,0.000423181,0.005273214,0.099063784,0.004610914,0.005840881,0.006481209,0.005254519,0.006222619,0.009986235,0.003284723,0.004009346,0.009592701,0.003741211,0.005199235,0.002015119,0.009334369,0.008378091,0.004925505,0.001046175,0.011889524,0.012077175,0.007558458,0.001906131,0.012685326,0.004558034,0.005567393,0.001354597,0.00794792,0.005023223,0.000632487,0.006492319,0.007892732,0.004632206,0.005766275,0.002598099,0.006357203,0.005572371,0.092873765,0.001956225,0.004440443,0.009056598,0.001978711,0.002845791,0.005732285,0.003248326,0.008760175,0.007337925,0.008628221,0.003970351,0.00927217,0.002820439,0.008530361,0.022131552,0.043471967,0.004109868,0.005072009,0.008209115,0.005038659,0.046338806,0.011257321,0.009961933,0.005118629,0.002931418,0.00186937,0.003000424,0.006018445,0.002982222,0.001189469,0.004836976,0.008957475,0.007301781,0.000564455,0.000516222,0.002461749,0.013963063,0.002606948,0.004655343,0.006922784,0.00506432,0.051901343,0.003251825,0.004505921,0.003613335,0.002815626,0.000823973,0.001297209,0.003854588,0.006361967,0.002919818,0.005901162,0.005515707,0.002287069,0.004799794,0.012920292,0.009298959
BICH,0.014959752,0.000589225,0.003897295,0.000559009,0.001861511,0.021044758,0.001687338,0.011835821,0.007759765,0.011252438,0.008341455,0.009883129,0.006881289,0.006197166,0.004038259,1,0.010199214,0.004408067,0.010520198,0.006703031,0.001910705,0.013274523,0.010617348,0.004201589,0.003329602,0.008427111,0.014792632,0.007018584,0.021322975,0.001323234,0.006073731,0.006287781,0.005471151,0.008863654,0.013301869,0.008924962,0.013203432,0.031527351,0.00591862,0.000633543,0.011519261,0.003612816,0.015154931,0.017584927,0.012988984,0.00573871,0.009857884,0.004278233,0.003325141,0.004833169,0.011939305,0.010642499,0.0121917,0.002902044,0.012769845,0.002885426,0.010417696,0.002922046,0.008650861,0.005846414,0.01299538,0.006427208,0.009056978,0.0056935,0.013608509,0.003087733,0.017893289,0.021427558,0.001232307,0.007941851,0.007251317,0.012972147,0.00841656,0.002597737,0.011978488,0.011083368,0.0098972,0.008186473,0.00876137,0.012990347,0.004581478,0.01311334,0.007752072,0.003180649,0.013374021,0.053262249,0.009871517,0.007759956,0.009001552,0.005589097,0.009696476,0.008464298,0.006079834,0.006692833,0.036905011,0.013604075,0.00754182,0.009434847,0.0046391,0.024695538,0.010631808,0.021732158,0.020482248,0.013469755,0.008002489,0.004334024,0.002163796,0.001889334,0.007613108,0.004868232,0.002345225,0.004760208,0.014744922,0.019655655,0.019378942,0.007360786,0.007181105,0.020098414,0.005393789,0.017242087,0.008244085,0.006080878,0.006972538,0.002330996,0.00922137,0.008625388,0.079345976,0.006983623,0.014386443,0.007410885,0.008320981,0.006038164,0.005001608,0.018055729
